VF7XU9HXCJS036270,Renault,Clio,2015,Gris,60000,5,13000,Location,Berline,1200,2023-03-05
VF1LC0NM6F0109144,Peugeot,208,2020,Blanc,15000,3,18000,Vente,Compacte,1050,2023-03-07
VF7XU9HXCJS036267,Citroen,C3,2016,Rouge,45000,5,10000,Location,Hatchback,1150,2023-03-08
VF1LW5FV3FJ157772,Volkswagen,Golf,2018,Bleu,35000,5,24000,Vente,Compacte,1400,2023-03-09
VF1AAAA0F67031390,Dacia,Logan,2008,Noir,120000,4,4000,Location,Berline,1050,2023-03-10
VF7XU9HXCJS036271,Ford,Fiesta,2015,Vert,65000,5,9500,Vente,Hatchback,1100,2023-03-11
VF1RFA5V6C0670836,BMW,Serie 1,2012,Gris,80000,5,13000,Location,Compacte,1500,2023-03-13
VF1LW5FV4EJ400449,Audi,A3,2014,Rouge,55000,5,20000,Vente,Berline,1450,2023-03-14
VF1CNCZ0F48912151,Mercedes-Benz,Classe A,2016,Blanc,40000,5,28000,Location,Hatchback,1250,2023-03-15
VF1LB0AH5C7653737,Toyota,Yaris,2012,Bleu,95000,5,8000,Vente,Compacte,950,2023-03-16
VF1BB0CG642762701,Renault,Laguna,2007,bleu,100000,5,15000,Vente,Berline,1500,2023-03-17
WDD2210561A158211,Mercedes-Benz,Classe S,2013,gris,80000,4,35000,Location,Coupé,1900,2023-03-18
WVWZZZ1KZ8W109879,Volkswagen,Golf,2009,rouge,120000,3,8000,Vente,Berline,1300,2023-03-23
1C4PJLDS6KW511518,Jeep,Cherokee,2019,blanc,20000,5,42000,Location,SUV,1900,2023-03-23
1G1PC5SB1E7468027,Chevrolet,Cruze,2014,vert,60000,4,10000,Vente,Berline,1400,2023-03-25
JTNKU3JE2FJ001625,Toyota,Yaris,2015,bleu foncé,70000,5,11000,Location,Citadine,1100,2023-03-26
SALVP2BG7HH315831,Land Rover,Range Rover Sport,2017,gris foncé,40000,5,55000,Vente,SUV,2400,2023-03-28
1C6SRFJT9LN124271,Ram,1500,2020,noir,15000,4,50000,Location,Pick-up,2500,2023-03-28
JTHBE1D20F5003012,Lexus,ES,2015,argent,80000,4,25000,Vente,Berline,1700,2023-03-28
WBA3A5C54DF359324,BMW,Série 3,2013,bleu clair,90000,4,20000,Location,Berline,1600,2023-03-28
1GKDT13S432310687,GMC,Envoy,2003,argent,180000,4,4000,Location,SUV,2200,2023-03-28
5UXFE43528L034542,BMW,X5,2008,bleu foncé,120000,5,13000,Vente,SUV,2200,2023-03-29
1FADP3F2XFL261114,Ford,Focus,2015,rouge,60000,4,8000,Location,Berline,1400,2023-03-29
WDD2221861A194294,Mercedes-Benz,Classe S,2015,blanc,70000,4,36000,Vente,Coupé,2000,2023-03-29
2C3CCAGG7JH126885,Chrysler,300,2018,noir,40000,4,24000,Vente,Berline,1900,2023-03-29
WBA3B9C59DF581961,BMW,Série 3,2013,gris,90000,4,15000,Location,Berline,1500,2023-03-29
JN8AS5MT5AW001684,Nissan,Rogue,2010,bleu,120000,5,7000,Vente,SUV,1700,2023-03-30
JTHCK262382015990,Lexus,IS,2008,vert,130000,4,9000,Location,Berline,1600,2023-03-30
1N4BL2AP3CN456357,Nissan,Altima,2012,rouge,80000,4,10000,Vente,Berline,1500,2023-03-30
WAUEFAFL6AN015952,Audi,A4,2010,bleu foncé,110000,4,11000,Location,Berline,1600,2023-03-30
1G1BC5SM6H7248546,Chevrolet,Cruze,2017,gris,50000,4,12000,Vente,Berline,1400,2023-03-31
WDDPK5HA8GF105415,Mercedes-Benz,Classe C,2016,rouge,60000,4,28000,Location,Berline,1700,2023-03-31
5N1AT2MT2FC812656,Nissan,Pathfinder,2015,blanc,80000,5,19000,Vente,SUV,2000,2023-03-31
WDCGG8HB5EG232323,Mercedes-Benz,GLK,2014,noir,70000,5,21000,Location,SUV,1800,2023-03-31
VF1CDB1F665474149,Peugeot,208,2015,Vert,73000,5,10500,Location,Citadine,1050,2023-03-31
VF7VU9HZ6EZ143764,Citroën,C4 Picasso,2014,Bordeaux,98000,5,8500,Vente,Monospace,1400,2023-03-31
WBA3N3C57GK254798,BMW,Série 3,2016,Gris,62000,4,18000,Location,Berline,1450,2023-04-01
WDD1760431J585364,Mercedes-Benz,A-Class,2018,Blanc,32000,5,26500,Vente,Compacte,1290,2023-04-01
2C3CDXBG0HH601391,Dodge,Charger,2017,Noir,48000,4,23000,Location,Berline,1800,2023-04-02
WDC2539861X062536,Mercedes-Benz,GLC,2017,Rouge,57000,5,36500,Vente,SUV,1925,2023-04-02
JTDKN3DU6B1442086,Toyota,Prius,2011,Bleu,140000,5,5000,Location,Compacte,1280,2020-07-24
WBA8E5G53GNT43587,BMW,Série 5,2016,Noir,78000,4,25500,Vente,Berline,1720,2018-11-29
VF7VD5FS0EJ610860,Citroën,C4 Cactus,2014,Jaune,69000,5,7800,Location,SUV,1200,2020-02-06
WDD1690321J306021,Mercedes-Benz,B-Class,2008,Argent,135000,5,4000,Vente,Monospace,1410,2022-09-15
2A8HR54P78R838277,Peugeot,308,2008,Vert Olive,95000,5,7500,Vente,Berline,1200,2018-05-21
1FTMF1E55KKE29667,Toyota,Yaris,2019,Bleu Céladon,15000,5,18000,Location,Berline,1100,2019-03-19
1GKET16S336108900,Volkswagen,Golf,2003,Rouge Carmin,200000,3,5000,Vente,Compacte,1300,2018-06-03
