16472,"Courroie de distribution","Moteur",0.5,"La courroie de distribution synchronise le mouvement des pistons et des soupapes pour une combustion efficace et évite les collisions internes du moteur",150,2023-04-17
28013,"Batterie","Circuit électrique",20.0,"La batterie fournit lénergie électrique nécessaire au démarrage du moteur et à lalimentation des différents équipements électriques de la voiture",100,2018-05-10
33921,"Bobine dallumage","Moteur",0.2,"La bobine dallumage fournit la tension électrique nécessaire pour produire létincelle qui allume le mélange air-carburant dans le cylindre du moteur",25,2020-03-15
45364,"Pompe à carburant","Réservoir à carburant",1.0,"La pompe à carburant aspire le carburant du réservoir et le transporte vers le moteur pour la combustion",80,2019-09-16
59876,"Roulement de roue","Roue", 0.5,"Le roulement de roue permet la rotation des roues avec un minimum de frottement et dusure", 30,2023-01-07
61428,"Plaquettes de frein","Étrier de frein", 0.5,"Les plaquettes de frein frottent contre le disque de frein pour ralentir la voiture en convertissant lénergie cinétique en chaleur", 70,2020-12-20
73165,"Filtre à huile","Moteur", 0.2,"Le filtre à huile élimine les impuretés et les contaminants de lhuile moteur pour maintenir la lubrification optimale des pièces du moteur", 15,2023-04-13
86729,"Plaquette de frein","Étrier de frein", 0.5,"La plaquette de frein est une pièce de friction qui serre le disque de frein pour ralentir la voiture", 40,2019-03-20
99316,"Joint de culasse","Moteur", 0.5,"Le joint de culasse scelle le cylindre du moteur pour empêcher les fuites de liquide de refroidissement ou dhuile", 100,2023-04-12
82403,"Courroie de distribution","Moteur", 0.5,"La courroie de distribution est responsable de synchroniser les mouvements des pistons et des soupapes pour une combustion efficace", 80,2023-04-18
7542,"Pompe à eau","Moteur", 1.0,"La pompe à eau circule le liquide de refroidissement dans le moteur pour éviter la surchauffe", 120,2020-11-12
61638,"Capteur doxygène","Échappement", 0.1,"Le capteur doxygène mesure la quantité doxygène dans les gaz déchappement pour aider le système de contrôle des émissions à réguler le mélange air-carburant", 60,2023-08-08
57451,"Câble dembrayage","Transmission", 0.2,"Le câble dembrayage transmet la force de la pédale dembrayage au mécanisme dembrayage pour permettre un changement de vitesse en douceur", 30,2023-04-18
42015,"Fusible","Boîte à fusibles", 0.01,"Le fusible protège les circuits électriques en faisant fondre un filament en cas de surtension", 2,2023-04-12
